RUC_ID,Tipo_empresa,Grupo_Empresarial,Sector,N_locales,N_trabajadores,Crecimiento_Anual,Tamaño_Fact,Cliente
20100175569,PRIVADA,1,Manufacturing,14,1021,-2.83%, 3 ,SI
20100004675,PUBLICA,1,Transportation & Logistics,31,1391,0.65%, 3 ,NO
20417926632,PRIVADA,1,Automotive,2,1227,7.94%, 3 ,NO
20341198217,PRIVADA,1,Banking & Capital Markets,9,279,22.15%, 3 ,SI
20100015014,PRIVADA,1,Metals and Mining,1,390,0.60%, 3 ,SI
20543725821,PRIVADA,1,Automotive,1,500,0.65%, 3 ,NO
20525099718,PRIVADA,1,Engineering & Construction,1,317,186.64%, 3 ,NO
20100220700,PRIVADA,1,Consumer,4,350,16.79%, 3 ,NO
20100919002,PRIVADA,1,Consumer,5,72,0.65%, 3 ,SI
20562707108,CONSORCIO,1,Transportation & Logistics,1,528,-5.53%, 1 ,NO
20101009174,PRIVADA,1,Manufacturing,1,17,23.10%, 1 ,NO
20553339988,PRIVADA,1,Chemicals,1,6,16.51%, 3 ,NO
20132243230,PRIVADA,1,Banking & Capital Markets,2,1864,7.94%, 3 ,SI
20522088073,PRIVADA,1,Consumer,1,514,16.51%, 3 ,NO
20100015103,PRIVADA,1,Transportation & Logistics,14,425,-2.83%, 3 ,SI
20100022142,PRIVADA,1,Manufacturing,6,411,9.18%, 3 ,NO
20600873521,PRIVADA,1,Hospitality & Leisure,1,214,24.94%, 1 ,SI
20517207331,PRIVADA,1,Insurance,1,200,78.08%, 3 ,SI
20100114934,PRIVADA,1,Metals and Mining,1,2100,16.79%, 3 ,SI
20251995967,PRIVADA,1,Manufacturing,9,1250,0.60%, 3 ,NO
20517905454,PRIVADA,1,Retail,8,358,145.42%, 3 ,SI
20547373350,PRIVADA,1,Engineering & Construction,1,41,51.89%, 1 ,NO
20461642706,PRIVADA,1,Consumer,1,3667,69.74%, 3 ,SI
20524538793,PRIVADA,1,Retail,1,41,32.45%, 1 ,NO
20390381612,PRIVADA,1,Transportation & Logistics,1,51,15.77%, 1 ,NO
20510398158,PRIVADA,1,Asset & Wealth Management,42,667,0.65%, 3 ,SI
20100579228,PRIVADA,1,Retail,2,103,7.94%, 1 ,NO
20510944764,PRIVADA,1,Media & Entertainment,1,261,16.51%, 3 ,SI
20511988757,PRIVADA,1,Engineering & Construction,1,221,-3.95%, 1 ,SI
20256265916,PRIVADA,1,Engineering & Construction,1,11,18.30%, 1 ,NO
20103117560,PUBLICA,1,Power & Utilities,27,393,7.94%, 3 ,SI
20100027021,PRIVADA,1,Retail,13,718,-7.62%, 3 ,SI
20100153832,PRIVADA,1,Energy,1,253,-2.58%, 3 ,NO
20516711559,PRIVADA,1,Banking & Capital Markets,1,98,36.31%, 3 ,SI
20168544252,PRIVADA,1,Automotive,15,132,3.23%, 4 ,NO
20458775746,PRIVADA,1,Manufacturing,1,13,24.76%, 1 ,NO
20511501718,PRIVADA,1,Transportation & Logistics,1,37,28.41%, 1 ,SI
20452614767,PRIVADA,1,Consumer,19,2641,-2.83%, 3 ,NO
20518402839,PRIVADA,1,Retail,4,8,7.94%, 3 ,SI
20100115663,PRIVADA,1,Asset & Wealth Management,13,962,7.94%, 3 ,SI
20428500475,PRIVADA,1,Transportation & Logistics,2,705,8.34%, 3 ,NO
20269180731,PRIVADA,1,Power & Utilities,1,194,-7.62%, 3 ,NO
20523621212,PRIVADA,1,Engineering & Construction,1,574,16.79%, 3 ,SI
20269863626,PRIVADA,1,Retail,1,97,-4.47%, 1 ,NO
20600436440,PRIVADA,1,Engineering & Construction,1,7,39.72%, 1 ,NO
20546349781,PRIVADA,1,Business Services,1,617,-3.95%, 1 ,SI
20100121809,PRIVADA,1,Health Services,23,1124,1.22%, 3 ,NO
20505675836,PRIVADA,1,Engineering & Construction,1,1457,14.97%, 3 ,NO
20470783851,PRIVADA,1,Retail,1,18,26.00%, 1 ,SI
20100384052,PRIVADA,1,Business Services,1,49,16.27%, 1 ,NO
20117331823,PRIVADA,1,Retail,3,56,4.68%, 1 ,NO
20306637305,PRIVADA,1,Engineering & Construction,1,660,10.19%, 3 ,NO
20548498181,PRIVADA,1,Retail,1,147,9.51%, 1 ,NO
20106740004,PRIVADA,1,Manufacturing,2,417,14.97%, 3 ,NO
20100148162,PRIVADA,1,Transportation & Logistics,21,3043,8.55%, 3 ,NO
20101363008,PRIVADA,1,Automotive,22,281,1.22%, 3 ,SI
20349065488,PRIVADA,1,Automotive,14,403,1.34%, 3 ,NO
20546191541,PRIVADA,1,Metals and Mining,5,903,-5.96%, 3 ,NO
20303585622,PRIVADA,1,Retail,21,18,-5.96%, 3 ,NO
20546128424,PRIVADA,1,Consumer,1,98,5.96%, 3 ,NO
20101508928,PRIVADA,1,Engineering & Construction,2,610,31.49%, 3 ,NO
20374518519,PRIVADA,1,Manufacturing,1,133,-5.75%, 1 ,NO
20102108443,PRIVADA,1,Power & Utilities,2,182,27.20%, 1 ,NO
20517003094,PRIVADA,1,Telecommunications,1,7,22.93%, 1 ,SI
20521586134,PRIVADA,1,Business Services,1,1533,27.04%, 3 ,SI
20600217764,PRIVADA,1,Chemicals,1,19,87.47%, 3 ,NO
20306841506,PRIVADA,1,Asset & Wealth Management,1,186,1.22%, 3 ,SI
20536619047,PRIVADA,1,Transportation & Logistics,1,116,2.93%, 1 ,NO
20462526165,PRIVADA,1,Banking & Capital Markets,2,142,10.02%, 1 ,SI
20513953012,PRIVADA,1,Media & Entertainment,1,97,41.91%, 1 ,NO
20470407442,PRIVADA,1,Automotive,1,930,14.97%, 3 ,NO
20513328819,PRIVADA,1,Insurance,1,122,27.59%, 3 ,SI
20548502633,PRIVADA,1,Retail,1,48,-5.75%, 1 ,NO
20563216752,PRIVADA,1,Engineering & Construction,1,0,71.16%, 1 ,SI
20505543174,PRIVADA,1,Manufacturing,1,141,-5.75%, 1 ,NO
20100077044,PRIVADA,1,Transportation & Logistics,157,3491,1.34%, 3 ,NO
20325117835,PRIVADA,1,Consumer,1,4959,-5.96%, 3 ,NO
20536126440,PRIVADA,1,Metals and Mining,9,329,1.22%, 3 ,NO
20331955249,PRIVADA,1,Consumer,8,49,7.71%, 1 ,NO
20472564618,PRIVADA,1,Technology,1,7,34.59%, 1 ,SI
20100814162,PRIVADA,1,Transportation & Logistics,1,1295,8.55%, 3 ,NO
20332940008,PRIVADA,1,Media & Entertainment,1,37,15.30%, 1 ,NO
20329545459,PRIVADA,1,Business Services,1,7041,8.55%, 3 ,NO
20501439020,PRIVADA,1,Engineering & Construction,24,3990,-20.90%, 3 ,SI
20142829551,PRIVADA,1,Asset & Wealth Management,2,422,1.34%, 3 ,NO
20102185863,PRIVADA,1,Hospitality & Leisure,2,1657,55.62%, 3 ,NO
20472109171,PRIVADA,1,Media & Entertainment,1,43,25.39%, 1 ,NO
20100821371,PRIVADA,1,Automotive,1,297,-3.73%, 3 ,NO
20548312184,PRIVADA,1,"Forest, Paper & Packaging",1,88,5.50%, 1 ,NO
20517056708,PRIVADA,1,Automotive,1,24,14.40%, 3 ,NO
20536727524,PRIVADA,1,Retail,1,361,-3.73%, 3 ,NO
20501923428,CONSORCIO,1,Consumer,1,32,21.70%, 3 ,NO
20383086702,PRIVADA,1,Manufacturing,1,207,47.47%, 1 ,NO
20502257987,PRIVADA,1,Consumer,1,352,2.52%, 3 ,NO
20601432278,PRIVADA,1,Metals and Mining,1,379,7.68%, 3 ,NO
20555881551,PRIVADA,1,Retail,1,892,7.33%, 3 ,SI
20518630891,PRIVADA,1,Power & Utilities,1,51,2.04%, 3 ,NO
20601289688,PRIVADA,1,Retail,1,0,25.76%, 1 ,NO
20419952461,PRIVADA,1,Transportation & Logistics,1,87,-5.53%, 1 ,NO
20100199158,PRIVADA,1,Retail,1,1164,2.04%, 3 ,NO
20336183791,PRIVADA,1,Consumer,1,16977,41.49%, 3 ,NO
20383380643,PRIVADA,1,Retail,31,722,2.52%, 3 ,NO
20384891943,PRIVADA,1,Retail,276,1222,7.33%, 3 ,NO
20518915119,PRIVADA,1,Metals and Mining,5,16,16.32%, 3 ,NO
20207845044,PRIVADA,1,Retail,1,86,-3.73%, 3 ,NO
20422293699,PRIVADA,1,Business Services,2,8706,-3.73%, 3 ,SI
20510931514,PRIVADA,1,Hospitality & Leisure,1,343,16.26%, 1 ,NO
20100096936,PRIVADA,1,Consumer,1,99,14.64%, 3 ,NO
20543412709,PRIVADA,1,Metals and Mining,1,17,115.05%, 3 ,NO
20478224169,PRIVADA,1,Pharma & Life Sciences ,1,15,-7.93%, 1 ,NO
20509560596,PRIVADA,1,Business Services,1,27,-0.87%, 1 ,NO
20100085063,PRIVADA,1,Consumer,2,1014,2.04%, 3 ,SI
20498791728,PRIVADA,1,Media & Entertainment,1,71,19.41%, 1 ,NO
20555757469,PRIVADA,1,Consumer,1,414,15.46%, 3 ,NO
20123187157,PRIVADA,1,Chemicals,2,94,6.75%, 1 ,SI
20555368993,PRIVADA,1,Consumer,1,33,-1.15%, 1 ,NO
20552714378,PRIVADA,1,Engineering & Construction,1,394,8.06%, 3 ,SI
20513632569,PRIVADA,1,Consumer,1,1169,14.64%, 3 ,NO
20501781291,PRIVADA,1,Health Services,1,896,24.25%, 3 ,NO
20100014395,PRIVADA,1,Consumer,11,1466,2.58%, 4 ,NO
20555903546,PRIVADA,1,Automotive,1,17,24.86%, 3 ,NO
20131867744,PRIVADA,1,Consumer,18,1503,8.06%, 3 ,NO
20250650001,PRIVADA,1,Retail,1,38,1.70%, 1 ,NO
20100227461,PRIVADA,1,Transportation & Logistics,2,2294,7.68%, 3 ,NO
20262478964,PRIVADA,1,Metals and Mining,2,445,15.97%, 3 ,SI
20109925757,PRIVADA,1,Engineering & Construction,2,1507,27.93%, 3 ,SI
20537738775,PRIVADA,1,Energy,54,70,2.04%, 3 ,SI
20100046831,PRIVADA,1,Consumer,6,494,7.33%, 3 ,NO
20551938353,PRIVADA,1,Business Services,1,90,17.63%, 1 ,NO
20506084840,PRIVADA,1,Business Services,1,7,8.88%, 1 ,SI
20100114349,PRIVADA,1,Business Services,1,2418,14.40%, 3 ,SI
20100123500,PRIVADA,1,Metals and Mining,1,422,-3.73%, 3 ,SI
20525138985,PRIVADA,1,Business Services,1,130,16.27%, 1 ,NO
20137422604,PRIVADA,1,Transportation & Logistics,1,17,10.40%, 1 ,NO
20216501021,PRIVADA,1,Business Services,1,168,13.51%, 1 ,NO
20535638056,PRIVADA,1,Health Services,1,1324,12.92%, 2 ,NO
20100412366,PRIVADA,1,Transportation & Logistics,3,841,35.06%, 2 ,NO
20504973990,PRIVADA,1,Retail,1,18,19.56%, 1 ,NO
20459099213,PRIVADA,1,Chemicals,1,178,16.26%, 1 ,NO
20522061035,PRIVADA,1,Consumer,1,246,34.68%, 2 ,NO
20100961114,PRIVADA,1,Business Services,1,112,-5.75%, 1 ,NO
20502253302,PRIVADA,1,Manufacturing,5,237,1.70%, 1 ,NO
20100383919,PRIVADA,1,Transportation & Logistics,1,144,27.39%, 1 ,NO
20307548322,PRIVADA,1,Retail,1,19,21.18%, 1 ,NO
20100204330,PRIVADA,1,Pharma & Life Sciences ,1,479,13.29%, 2 ,NO
20100151112,PRIVADA,1,Manufacturing,1,249,13.47%, 2 ,SI
20265913769,PRIVADA,1,Technology,1,115,21.18%, 1 ,NO
20126702737,PRIVADA,1,Metals and Mining,2,160,17.68%, 2 ,NO
20524269440,PRIVADA,1,Consumer,1,31,8.46%, 2 ,SI
20100617332,PRIVADA,1,Consumer,1,291,12.92%, 2 ,NO
20516872307,PRIVADA,1,Retail,1,384,13.47%, 2 ,NO
20100019788,PRIVADA,1,Consumer,1,184,4.55%, 1 ,NO
20318171701,PRIVADA,1,Automotive,1,287,8.26%, 2 ,NO
20466590747,PRIVADA,1,Technology,1,71,-17.37%, 1 ,NO
20278966004,PRIVADA,1,Consumer,2,560,13.29%, 2 ,SI
20101155588,PRIVADA,1,Business Services,11,7912,8.46%, 2 ,NO
20502090161,PRIVADA,1,Manufacturing,1,39,1.60%, 1 ,SI
20204441007,PRIVADA,1,Pharma & Life Sciences ,1,150,-3.41%, 2 ,SI
20117920144,PRIVADA,1,Business Services,41,6564,1.39%, 2 ,SI
20378721998,PRIVADA,1,Technology,1,76,18.21%, 2 ,SI
20451575989,PRIVADA,1,Business Services,1,57,60.33%, 1 ,NO
20100029741,PRIVADA,1,Transportation & Logistics,12,92,8.26%, 2 ,NO
20556126764,PRIVADA,1,Transportation & Logistics,1,17,28.41%, 1 ,NO
20536938657,PRIVADA,1,Consumer,1,224,60.97%, 2 ,NO
20601647649,PRIVADA,1,Consumer,1,0,61.17%, 2 ,SI
20600168437,PRIVADA,1,Business Services,1,34,184.03%, 2 ,NO
20100093830,PRIVADA,1,Consumer,1,648,1.68%, 2 ,NO
20460352674,PRIVADA,1,Metals and Mining,2,176,31.68%, 2 ,NO
20550372640,PRIVADA,1,Engineering & Construction,1,654,9.14%, 2 ,SI
20217265674,PRIVADA,1,Retail,1,50,7.77%, 1 ,SI
20133530003,PRIVADA,1,Consumer,27,1533,1.68%, 2 ,NO
20507264108,PRIVADA,1,Health Services,1,1316,17.87%, 2 ,NO
20600048709,PRIVADA,1,Banking & Capital Markets,1,13,23.14%, 1 ,NO
20514737364,PRIVADA,1,Engineering & Construction,12,574,-3.41%, 2 ,NO
20100051240,PRIVADA,1,Engineering & Construction,2,668,-2.79%, 2 ,SI
20505377142,PRIVADA,1,Transportation & Logistics,1,10,43.35%, 2 ,NO
20195867233,PRIVADA,1,Engineering & Construction,1,55,-5.28%, 1 ,NO
20547481675,PRIVADA,1,Media & Entertainment,1,181,32.45%, 1 ,NO
20259572887,PRIVADA,1,Automotive,1,89,19.56%, 1 ,NO
20511465061,PRIVADA,1,Engineering & Construction,4,34,18.53%, 2 ,SI
20101796532,PRIVADA,1,Retail,3,223,1.39%, 2 ,NO
20510400667,PRIVADA,1,0,1,15,21.18%, 1 ,NO
20395419715,PRIVADA,1,0,1,65,23.23%, 1 ,NO
20508766751,PRIVADA,1,0,1,43,25.97%, 1 ,NO
20449325983,PRIVADA,1,0,1,12,-4.76%, 1 ,NO
20437481653,PRIVADA,1,0,1,143,35.48%, 1 ,NO
20125516140,PRIVADA,1,0,1,19,13.34%, 1 ,NO
20131308095,PRIVADA,1,0,1,15,54.02%, 1 ,NO
20100318696,PRIVADA,1,Engineering & Construction,1,573,36.46%, 2 ,SI
20537322595,PRIVADA,1,0,1,9,14.39%, 1 ,NO
20357259976,PRIVADA,1,Energy,1,2338,17.68%, 2 ,NO
20484044997,PRIVADA,1,0,1,75,12.78%, 1 ,NO
20509551767,PRIVADA,1,Metals and Mining,1,379,-5.87%, 2 ,SI
20107695584,PRIVADA,1,Health Services,2,979,5.08%, 2 ,SI
20458810673,PRIVADA,1,0,1,20,24.94%, 1 ,NO
20501977439,PRIVADA,1,Consumer,4,102,5.63%, 2 ,NO
20512225986,PRIVADA,1,0,1,86,16.27%, 1 ,NO
20123030843,PRIVADA,1,0,1,32,13.45%, 1 ,NO
20175077023,PRIVADA,1,0,1,107,40.17%, 1 ,NO
20453665969,PRIVADA,1,0,1,17,4.90%, 1 ,NO
20331633390,PRIVADA,1,0,1,5,19.73%, 1 ,NO
20384262067,PRIVADA,1,0,1,122,91.93%, 1 ,NO
20101639275,PRIVADA,1,Automotive,2,269,0.97%, 2 ,SI
20100997909,PRIVADA,1,0,1,72,41.91%, 1 ,NO
20509358177,PRIVADA,1,0,1,52,24.91%, 1 ,NO
20504187587,PRIVADA,1,0,1,155,29.15%, 1 ,NO
20502699491,PRIVADA,1,0,1,33,14.52%, 1 ,NO
20515718860,PRIVADA,1,0,1,14,8.88%, 1 ,NO
20470987856,PRIVADA,1,0,1,67,31.27%, 1 ,NO
20396637759,PRIVADA,1,0,1,162,30.11%, 1 ,NO
20101077099,PRIVADA,1,Chemicals,1,92,25.83%, 2 ,NO
20503893241,PRIVADA,1,0,1,1448,24.91%, 1 ,NO
20101915132,PRIVADA,1,0,1,245,92.59%, 1 ,NO
20507251111,PRIVADA,1,0,1,145,0.68%, 1 ,NO
20302830828,PRIVADA,1,0,1,20,9.35%, 1 ,NO
20422626175,PRIVADA,1,Automotive,1,29,15.63%, 2 ,SI
20535637599,PRIVADA,1,Health Services,1,1359,0.94%, 2 ,NO
20413666130,PRIVADA,1,Automotive,2,156,9.48%, 2 ,NO
20503876150,PRIVADA,1,Energy,2,19,52.46%, 2 ,NO
20167795120,PRIVADA,1,0,1,27,24.23%, 1 ,NO
20431084172,PRIVADA,1,0,1,192,-7.29%, 1 ,NO
20100041449,PRIVADA,1,Transportation & Logistics,1,8,15.63%, 2 ,NO
20479583260,PRIVADA,1,0,1,9,-9.48%, 1 ,NO
20601057353,PRIVADA,1,0,1,3,14.14%, 1 ,NO
20484251861,PRIVADA,1,Consumer,2,297,35.92%, 2 ,NO
20306273265,PRIVADA,1,0,1,15,2.82%, 1 ,NO
20100310288,PRIVADA,1,0,1,84,1.70%, 1 ,NO
20100355206,PRIVADA,1,0,1,85,13.26%, 1 ,NO
20489517320,PRIVADA,1,0,1,36,14.52%, 1 ,NO
20380130336,PRIVADA,1,Automotive,1,223,-8.89%, 2 ,NO
20546357377,PRIVADA,1,Pharma & Life Sciences ,1,341,5.08%, 2 ,NO
20455307954,PRIVADA,1,Automotive,1,196,0.94%, 2 ,NO
20100335604,PRIVADA,1,Media & Entertainment,1,201,17.90%, 2 ,NO
20391166855,PRIVADA,1,Retail,1,50,-4.91%, 2 ,SI
20484092371,PRIVADA,1,0,1,32,9.53%, 1 ,NO
20601373875,PRIVADA,1,Engineering & Construction,1,117,23.36%, 2 ,NO
20512722009,PRIVADA,1,0,1,19,22.93%, 1 ,NO
20380289360,PRIVADA,1,Engineering & Construction,3,792,10.58%, 2 ,NO
20498630392,PRIVADA,1,0,1,580,20.22%, 1 ,NO
20513192224,PRIVADA,1,0,1,142,26.87%, 1 ,NO
20117470271,PRIVADA,1,0,1,163,-5.28%, 1 ,NO
20534183926,PRIVADA,1,0,1,211,43.48%, 1 ,NO
20338570041,PRIVADA,1,Chemicals,7,233,9.51%, 2 ,SI
20536878140,PRIVADA,1,0,1,2,-3.33%, 1 ,NO
20502485009,PRIVADA,1,0,1,50,15.70%, 1 ,NO
20547907249,PRIVADA,1,0,1,26,40.59%, 1 ,NO
20470145901,PRIVADA,1,Pharma & Life Sciences ,1,84,15.37%, 2 ,NO
20538715345,PRIVADA,1,0,1,38,22.06%, 1 ,NO
20100036101,PRIVADA,1,0,1,93,10.18%, 1 ,SI
20600346149,PRIVADA,1,Chemicals,1,447,9.51%, 2 ,NO
20413940568,PRIVADA,1,Consumer,2,553,9.51%, 2 ,SI
20482032487,PRIVADA,1,0,1,47,21.18%, 1 ,NO
20509507199,PRIVADA,1,Banking & Capital Markets,18,655,5.08%, 2 ,SI
20600146743,PRIVADA,1,0,1,15,14.14%, 1 ,NO
20408027897,PRIVADA,1,0,1,77,1.60%, 1 ,NO
20517411613,PRIVADA,1,0,1,131,4.79%, 1 ,NO
20502913752,PRIVADA,1,Automotive,1,108,0.94%, 2 ,NO
20601757339,PRIVADA,1,0,1,0,33.82%, 1 ,NO
20381170412,PRIVADA,1,Health Services,1,720,0.94%, 2 ,NO
20548969566,PRIVADA,1,0,1,724,17.72%, 1 ,NO
20524189501,PRIVADA,1,0,1,14,18.72%, 1 ,NO
20530843204,PRIVADA,1,0,1,224,5.36%, 1 ,NO
20329838553,PRIVADA,1,0,1,100,46.60%, 1 ,NO
20545293171,PRIVADA,1,0,1,144,10.40%, 1 ,NO
20454870591,PRIVADA,1,0,2,125,8.77%, 1 ,NO
20536733419,PRIVADA,1,Media & Entertainment,1,567,5.08%, 2 ,SI
20478026014,PRIVADA,1,0,1,636,-0.91%, 1 ,NO
20440251677,PRIVADA,1,0,1,26,24.37%, 1 ,NO
20100123682,PRIVADA,1,Pharma & Life Sciences ,1,134,15.63%, 2 ,NO
20100607965,PRIVADA,1,0,1,47,12.26%, 1 ,NO
20392965191,PRIVADA,1,Engineering & Construction,3,938,-4.91%, 2 ,NO
20444479753,PRIVADA,1,0,1,8,10.63%, 1 ,NO
20147123052,PRIVADA,1,0,1,29,7.94%, 1 ,NO
20486267934,PRIVADA,1,0,1,5,-3.09%, 1 ,NO
20476798770,PRIVADA,1,0,1,53,46.61%, 1 ,NO
20100111838,PRIVADA,1,Energy,1,615,5.08%, 2 ,NO
20451899881,PRIVADA,1,Consumer,1,1145,6.38%, 2 ,NO
20600819195,PRIVADA,1,0,1,15,19.66%, 1 ,NO
20252796623,PRIVADA,1,0,1,195,2.29%, 1 ,NO
20206932741,PRIVADA,1,0,1,77,9.01%, 1 ,NO
20255364287,PRIVADA,1,0,1,17,-0.54%, 1 ,NO
20378890161,PRIVADA,1,Retail,1,1133,0.97%, 2 ,SI
20479597139,PRIVADA,1,0,1,46,12.26%, 1 ,NO
20469148301,PRIVADA,1,0,1,9,-17.10%, 1 ,NO
20510517777,PRIVADA,1,0,1,197,4.90%, 1 ,NO
20324737171,PRIVADA,1,0,2,814,24.91%, 1 ,NO
20433392818,PRIVADA,1,0,1,17,-2.02%, 1 ,NO
20454826699,PRIVADA,1,0,1,95,6.47%, 1 ,NO
20554163387,PRIVADA,1,0,1,36,25.99%, 1 ,NO
20501867412,PRIVADA,1,0,1,40,7.51%, 1 ,NO
20496535066,PRIVADA,1,0,1,118,114.84%, 1 ,NO
20401900587,PRIVADA,1,0,2,9,0.01%, 1 ,NO
20498299653,PRIVADA,1,0,1,123,14.14%, 1 ,NO
20338595892,PRIVADA,1,0,1,123,-0.91%, 1 ,NO
20516488973,PRIVADA,1,Metals and Mining,1,13,1.47%, 2 ,SI
20100011884,PRIVADA,1,0,1,414,7.94%, 1 ,NO
20600715187,PRIVADA,1,Metals and Mining,1,120,10.19%, 2 ,NO
20407509758,PRIVADA,1,0,1,196,59.35%, 1 ,NO
20107074474,PRIVADA,1,0,1,42,24.94%, 1 ,NO
20547441967,CONSORCIO,1,0,1,17,24.51%, 1 ,NO
20252575457,PRIVADA,1,Telecommunications,1,111,17.83%, 2 ,SI
20106109401,PRIVADA,1,0,8,34,12.26%, 1 ,NO
20290314799,PRIVADA,1,Retail,2,157,5.46%, 2 ,SI
20452840775,PRIVADA,1,0,1,147,19.44%, 1 ,NO
20494472725,PRIVADA,1,0,1,10,34.86%, 1 ,NO
20297566866,PRIVADA,1,Business Services,1,2202,5.46%, 2 ,SI
20543323862,PRIVADA,1,Technology,1,2116,36.69%, 2 ,NO
20265815830,PRIVADA,1,Hospitality & Leisure,1,1027,1.01%, 2 ,NO
20104888934,PUBLICA,1,Banking & Capital Markets,24,1013,11.28%, 2 ,NO
20293847038,PRIVADA,1,Consumer,1,1832,5.38%, 2 ,NO
20405479592,PUBLICA,1,Power & Utilities,1,186,5.15%, 2 ,NO
20100096855,PRIVADA,1,Retail,1,154,20.50%, 2 ,SI
20307150981,PRIVADA,1,Chemicals,2,205,31.67%, 2 ,NO
20547080093,PRIVADA,1,0,1,29,15.54%, 1 ,NO
20492941400,PRIVADA,1,0,1,205,-3.18%, 1 ,NO
20601237211,PRIVADA,1,Transportation & Logistics,1,0,158.24%, 2 ,SI
20102756364,PRIVADA,1,0,1,134,22.06%, 1 ,NO
20108730294,PRIVADA,1,Retail,7,732,-3.16%, 2 ,NO
